period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,year,month
2008-02-01,MI,Michigan,TRA,transportation,1.0,11.13,0.05499,0.49397,2008,2
2008-02-01,AL,Alabama,ALL,all sectors,2484395.0,7.49,547.08186,7302.28586,2008,2
2008-02-01,OH,Ohio,TRA,transportation,2.0,9.25,0.49843,5.38792,2008,2
2008-02-01,OH,Ohio,COM,commercial,611953.0,9.02,344.67048,3820.60517,2008,2
2008-02-01,NY,New York,IND,industrial,9037.0,9.38,116.74711,1244.1544,2008,2
2008-02-01,NY,New York,COM,commercial,1030937.0,15.13,949.28118,6272.31966,2008,2
2008-02-01,NY,New York,ALL,all sectors,7925543.0,15.22,1802.06843,11838.35318,2008,2
2008-02-01,MA,Massachusetts,RES,residential,2644943.0,16.49,287.42095,1742.84244,2008,2
2008-02-01,MA,Massachusetts,IND,industrial,14087.0,12.89,100.8814,782.52853,2008,2
2008-02-01,MA,Massachusetts,COM,commercial,378689.0,14.85,328.9018,2214.78126,2008,2
2008-02-01,PACC,Pacific Contiguous,IND,industrial,118921.0,7.36,474.0371,6439.20934,2008,2
2008-02-01,PACN,Pacific Noncontiguous,COM,commercial,108456.0,20.14,105.72949,524.93631,2008,2
2008-02-01,PACN,Pacific Noncontiguous,TRA,transportation,0.0,0.0,0.0,0.0,2008,2
2008-02-01,US,U.S. Total,ALL,all sectors,142816242.0,8.9,27150.32587,305094.91897,2008,2
2008-02-01,US,U.S. Total,RES,residential,124603700.0,10.16,12045.27791,118553.64589,2008,2
2008-02-01,VT,Vermont,COM,commercial,49130.0,12.13,20.88161,172.1166,2008,2
2008-02-01,MA,Massachusetts,ALL,all sectors,3037720.0,15.09,720.14996,4770.90259,2008,2
2008-02-01,MD,Maryland,TRA,transportation,5.0,10.14,4.57335,45.1061,2008,2
2008-02-01,MA,Massachusetts,TRA,transportation,1.0,9.58,2.94582,30.75037,2008,2
2008-02-01,MI,Michigan,ALL,all sectors,4824709.0,8.56,751.20305,8773.42677,2008,2
2008-02-01,MI,Michigan,COM,commercial,516641.0,8.94,278.731,3116.94369,2008,2
2008-02-01,MI,Michigan,IND,industrial,12204.0,6.47,176.35471,2727.05797,2008,2
2008-02-01,NM,New Mexico,TRA,transportation,0.0,0.0,0.0,0.0,2008,2
2008-02-01,NM,New Mexico,RES,residential,838250.0,9.04,50.4368,557.74135,2008,2
2008-02-01,NM,New Mexico,IND,industrial,6264.0,6.12,32.34003,528.02885,2008,2
2008-02-01,NM,New Mexico,COM,commercial,133449.0,7.99,52.68656,659.49136,2008,2
2008-02-01,NM,New Mexico,ALL,all sectors,977963.0,7.76,135.46339,1745.26155,2008,2
2008-02-01,NJ,New Jersey,TRA,transportation,6.0,13.01,3.3653,25.85928,2008,2
2008-02-01,TX,Texas,ALL,all sectors,11033211.0,9.77,2587.95153,26480.32829,2008,2
2008-02-01,NJ,New Jersey,RES,residential,3437407.0,14.01,321.21331,2292.96215,2008,2
2008-02-01,NJ,New Jersey,IND,industrial,13574.0,11.52,100.72805,874.5334,2008,2
2008-02-01,NJ,New Jersey,COM,commercial,469872.0,12.59,407.53867,3237.94629,2008,2
