period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,month,year
2023-01-01,US,U.S. Total,ALL,all sectors,161044188.0,12.68,41249.19152,325414.64493,1,2023
2023-02-01,US,U.S. Total,ALL,all sectors,160375101.0,12.67,37122.54522,292945.66208,2,2023
2023-02-01,US,U.S. Total,COM,commercial,19245625.0,12.53,13013.09599,103830.28424,2,2023
2023-02-01,US,U.S. Total,IND,industrial,1045447.0,8.01,6125.39059,76449.23685,2,2023
2023-02-01,US,U.S. Total,RES,residential,140083946.0,15.98,17910.34448,112105.18081,2,2023
2023-02-01,US,U.S. Total,TRA,transportation,83.0,13.14,73.71416,560.96018,2,2023
2023-03-01,US,U.S. Total,ALL,all sectors,161937082.0,12.46,38170.74212,306453.94244,3,2023
2023-03-01,US,U.S. Total,TRA,transportation,84.0,12.28,70.83403,576.97647,3,2023
2023-03-01,US,U.S. Total,RES,residential,141448955.0,16.04,17716.08355,110416.92317,3,2023
2023-03-01,US,U.S. Total,IND,industrial,1061218.0,7.8,6460.45854,82817.07913,3,2023
2023-03-01,US,U.S. Total,COM,commercial,19426825.0,12.36,13923.36599,112642.96368,3,2023
2023-04-01,US,U.S. Total,TRA,transportation,85.0,12.05,61.86782,513.46136,4,2023
2023-04-01,US,U.S. Total,ALL,all sectors,160602261.0,12.16,34135.51161,280811.14791,4,2023
2023-04-01,US,U.S. Total,COM,commercial,19204427.0,12.08,12572.43482,104090.76444,4,2023
2023-04-01,US,U.S. Total,RES,residential,140336362.0,16.1,15491.85283,96195.85958,4,2023
2023-04-01,US,U.S. Total,IND,industrial,1061387.0,7.51,6009.35615,80011.06253,4,2023
2023-05-01,US,U.S. Total,TRA,transportation,84.0,12.43,65.70057,528.76348,5,2023
2023-05-01,US,U.S. Total,ALL,all sectors,161787500.0,12.21,36482.58868,298705.56959,5,2023
2023-05-01,US,U.S. Total,COM,commercial,19408729.0,12.16,13769.05459,113242.71738,5,2023
2023-05-01,US,U.S. Total,IND,industrial,1089609.0,7.64,6471.68664,84703.57574,5,2023
2023-05-01,US,U.S. Total,RES,residential,141289078.0,16.14,16176.14688,100230.51299,5,2023
2023-06-01,US,U.S. Total,TRA,transportation,85.0,12.41,71.84764,578.7425,6,2023
2023-06-01,US,U.S. Total,RES,residential,141443788.0,16.09,19514.61206,121319.611,6,2023
2023-06-01,US,U.S. Total,IND,industrial,1098252.0,8.11,6987.1354,86193.14599,6,2023
2023-06-01,US,U.S. Total,COM,commercial,19424587.0,12.63,15247.6945,120706.58417,6,2023
2023-06-01,US,U.S. Total,ALL,all sectors,161966712.0,12.72,41821.28959,328798.08365,6,2023
2023-07-01,US,U.S. Total,ALL,all sectors,161681072.0,13.06,50581.72502,387256.1072,7,2023
2023-07-01,US,U.S. Total,IND,industrial,1090923.0,8.36,7563.45259,90526.45351,7,2023
2023-07-01,US,U.S. Total,TRA,transportation,85.0,12.77,79.26453,620.61753,7,2023
2023-07-01,US,U.S. Total,COM,commercial,19387713.0,12.91,17603.18974,136394.20263,7,2023
2023-07-01,US,U.S. Total,RES,residential,141202351.0,15.86,25335.81816,159714.83353,7,2023
2023-08-01,US,U.S. Total,ALL,all sectors,162693712.0,13.27,52057.10964,392436.03404,8,2023
2023-08-01,US,U.S. Total,COM,commercial,19492504.0,13.08,18102.20348,138389.57188,8,2023
2023-08-01,US,U.S. Total,IND,industrial,1110030.0,8.9,8184.98362,92008.70522,8,2023
2023-08-01,US,U.S. Total,RES,residential,142091093.0,15.91,25693.30936,161460.19193,8,2023
2023-08-01,US,U.S. Total,TRA,transportation,85.0,13.26,76.61319,577.56501,8,2023
2023-09-01,US,U.S. Total,ALL,all sectors,161882447.0,13.14,45524.51259,346476.44135,9,2023
2023-09-01,US,U.S. Total,COM,commercial,19394681.0,13.07,16537.57351,126545.78749,9,2023
2023-09-01,US,U.S. Total,IND,industrial,1093078.0,8.43,7291.20496,86472.08044,9,2023
2023-09-01,US,U.S. Total,RES,residential,141394603.0,16.27,21601.60419,132807.00629,9,2023
2023-09-01,US,U.S. Total,TRA,transportation,85.0,14.45,94.12993,651.56712,9,2023
2023-10-01,US,U.S. Total,TRA,transportation,85.0,12.65,71.49645,565.4009,10,2023
2023-10-01,US,U.S. Total,COM,commercial,19445650.0,12.73,15047.05514,118207.85264,10,2023
2023-10-01,US,U.S. Total,RES,residential,141873678.0,16.48,17021.91692,103313.77418,10,2023
2023-10-01,US,U.S. Total,ALL,all sectors,162401934.0,12.67,39023.55882,308065.40868,10,2023
2023-10-01,US,U.S. Total,IND,industrial,1082521.0,8.01,6883.09031,85978.38096,10,2023
2023-11-01,US,U.S. Total,TRA,transportation,85.0,12.6,69.17436,549.13729,11,2023
2023-11-01,US,U.S. Total,RES,residential,141638998.0,16.19,16501.18163,101906.58739,11,2023
2023-11-01,US,U.S. Total,ALL,all sectors,162097788.0,12.44,36609.97329,294248.48557,11,2023
2023-11-01,US,U.S. Total,COM,commercial,19389685.0,12.43,13645.72492,109756.4832,11,2023
2023-11-01,US,U.S. Total,IND,industrial,1069020.0,7.79,6393.89239,82036.2777,11,2023
2023-12-01,US,U.S. Total,TRA,transportation,85.0,12.34,69.29196,561.37171,12,2023
2023-12-01,US,U.S. Total,RES,residential,141942234.0,15.69,18659.0197,118916.96042,12,2023
2023-12-01,US,U.S. Total,IND,industrial,1083495.0,7.61,6210.31532,81651.67602,12,2023
2023-12-01,US,U.S. Total,ALL,all sectors,162435882.0,12.34,38591.43586,312641.83476,12,2023
2023-12-01,US,U.S. Total,COM,commercial,19410068.0,12.24,13652.80889,111511.82661,12,2023
2024-01-01,US,U.S. Total,ALL,all sectors,162592961.0,12.71,43604.41306,343171.1621,1,2024
2024-01-01,US,U.S. Total,RES,residential,142098692.0,15.47,22169.05321,143267.38525,1,2024
2024-01-01,US,U.S. Total,TRA,transportation,82.0,12.64,77.21554,610.82887,1,2024
