period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales
2009-12,DE,Delaware,RES,residential,394429,13.81,49.70137,359.93754
2009-12,DC,District of Columbia,RES,residential,226030,13.44,23.28833,173.32576
2009-12,FL,Florida,RES,residential,8491760,12.22,1039.85992,8508.12665
2009-12,GA,Georgia,RES,residential,4067579,9.14,437.68532,4790.26538
2009-12,HI,Hawaii,RES,residential,414256,26.26,66.75206,254.19824
2009-12,ID,Idaho,RES,residential,662583,8.48,84.37201,994.89305
2009-12,IL,Illinois,RES,residential,5071085,10.3,431.72218,4191.56433
2009-12,IN,Indiana,RES,residential,2745206,8.74,290.15984,3319.32846
2009-12,IA,Iowa,RES,residential,1328589,9.36,132.51758,1416.15323
2009-12,KS,Kansas,RES,residential,1210978,8.77,108.92064,1241.47171
2009-12,KY,Kentucky,RES,residential,1933432,8.03,213.09757,2654.23447
2020-02,MAT,Middle Atlantic,RES,residential,16296780,15.47,1643.91542,10627.81195
2020-02,ENC,East North Central,RES,residential,20360421,13.12,2055.62414,15668.23253
2020-02,WNC,West North Central,RES,residential,9586466,10.87,998.76849,9187.55346
2020-02,SAT,South Atlantic,RES,residential,28473251,11.73,3268.25872,27866.0127
2020-08,MT,Montana,RES,residential,523184,11.66,51.93991,445.28731
2020-08,NE,Nebraska,RES,residential,866775,11.76,114.86302,976.70055
2020-08,NV,Nevada,RES,residential,1230159,10.75,222.12497,2065.47336
2020-08,NH,New Hampshire,RES,residential,634997,18.26,91.40148,500.67759
2020-06,DE,Delaware,RES,residential,445832,13.07,53.90081,412.52346
2020-06,DC,District of Columbia,RES,residential,290568,12.78,25.49781,199.5698
2020-07,NE,Nebraska,RES,residential,867687,11.51,134.03133,1164.76207
2020-08,MS,Mississippi,RES,residential,1309093,10.66,218.1005,2046.57738
2008-12,NY,New York,RES,residential,6914618,16.63,710.8297,4274.71153
2008-12,NC,North Carolina,RES,residential,4166723,9.29,493.85022,5316.38045
2008-12,ND,North Dakota,RES,residential,320871,6.84,35.95804,526.08851
2008-12,OH,Ohio,RES,residential,4892249,9.48,523.61284,5521.81635
2008-12,MD,Maryland,RES,residential,2183400,13.89,352.77416,2539.70999
2009-08,CT,Connecticut,RES,residential,1444390,20.22,248.17556,1227.62076
2020-08,MO,Missouri,RES,residential,2846817,12.72,446.38484,3508.53864
2016-11,AR,Arkansas,RES,residential,1371364,10.11,110.30273,1091.23902
2016-11,CA,California,RES,residential,13239239,17.93,1109.62211,6187.82897
2016-11,CO,Colorado,RES,residential,2271616,12.27,163.89003,1335.71745
2018-08,AR,Arkansas,RES,residential,1391939,10.01,195.0949,1949.34779
2008-10,IN,Indiana,RES,residential,2729180,10.08,217.81285,2161.15768
2008-10,IA,Iowa,RES,residential,1328229,10,89.14777,891.51108
2008-10,KS,Kansas,RES,residential,1254830,8.85,73.89777,835.0735
2008-10,KY,Kentucky,RES,residential,1929805,8.78,152.74466,1740.51068
2008-10,LA,Louisiana,RES,residential,1926324,10.95,239.02952,2183.54486
2008-10,ME,Maine,RES,residential,695740,16.49,54.46248,330.24219
2008-10,MD,Maryland,RES,residential,2179861,14.65,261.22798,1783.69411
2008-10,MA,Massachusetts,RES,residential,2657827,19.7,255.39587,1296.63881
2008-10,MI,Michigan,RES,residential,4285671,10.94,254.19702,2322.87676
2008-10,MN,Minnesota,RES,residential,2288286,10.02,151.13464,1507.7482
2008-10,MS,Mississippi,RES,residential,1239896,10.83,144.41352,1332.85656
2008-10,MO,Missouri,RES,residential,2683165,8.4,176.84134,2105.39235
2008-10,MT,Montana,RES,residential,460276,9.36,29.01235,309.93344
2008-10,NE,Nebraska,RES,residential,797336,8.07,49.83043,617.53314
2008-10,NV,Nevada,RES,residential,1055427,12.07,96.78102,801.99024
2008-10,NH,New Hampshire,RES,residential,595403,16.63,53.08439,319.19887
2008-10,NJ,New Jersey,RES,residential,3403459,15.61,304.12561,1948.39948
2008-11,CT,Connecticut,RES,residential,1450243,19.97,200.23594,1002.78667
2008-11,DE,Delaware,RES,residential,392277,14.61,41.19622,282.00635
2008-11,DC,District of Columbia,RES,residential,219157,13,16.30264,125.37945
2008-11,FL,Florida,RES,residential,8526534,11.97,923.0083,7712.08025
2008-11,GA,Georgia,RES,residential,4039474,9.49,346.73353,3653.04273
2008-11,HI,Hawaii,RES,residential,409466,33.41,81.28547,243.29471
2008-11,ID,Idaho,RES,residential,656647,7.25,51.03291,704.26347
2008-11,IL,Illinois,RES,residential,5094198,12.24,436.40642,3564.28717
2008-11,IN,Indiana,RES,residential,2733332,9.57,241.48431,2522.99054
2008-11,IA,Iowa,RES,residential,1323486,8.98,91.69537,1021.08972
2008-11,KS,Kansas,RES,residential,1258271,8.51,74.5755,876.75527
2008-12,AK,Alaska,RES,residential,268318,16.23,35.39712,218.06927
2008-12,AZ,Arizona,RES,residential,2543789,9.61,208.89843,2174.49521
2008-12,AR,Arkansas,RES,residential,1310559,8.64,133.05633,1539.3589
2008-12,CA,California,RES,residential,13317082,13.7,1082.48169,7904.0588
2020-02,WA,Washington,RES,residential,3133383,9.54,343.87558,3602.7504
2020-02,WV,West Virginia,RES,residential,858947,11.27,118.86417,1054.62847
2020-02,WI,Wisconsin,RES,residential,2729668,14.17,255.8416,1805.2773
2020-02,WY,Wyoming,RES,residential,274999,10.52,30.3684,288.54902
