period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales
2010-04,CA,California,IND,industrial,75846,9.03,357.61811,3959.92863
2010-04,CO,Colorado,IND,industrial,15094,7.02,83.78689,1194.39713
2010-04,CT,Connecticut,IND,industrial,5177,14.62,43.86997,300.01696
2010-04,DE,Delaware,IND,industrial,1242,9.04,18.62855,206.17827
2010-04,DC,District of Columbia,IND,industrial,1,7.17,1.2661,17.65278
2010-04,FL,Florida,IND,industrial,17920,8.79,126.42209,1437.63019
2010-04,GA,Georgia,IND,industrial,15437,5.61,139.37263,2482.78412
2010-11,OR,Oregon,IND,industrial,20146,5.58,55.16011,989.07806
2010-12,KS,Kansas,IND,industrial,24559,6.3,53.26062,846.00304
2010-12,KY,Kentucky,IND,industrial,7219,5.13,202.04955,3942.22721
2010-01,WSC,West South Central,IND,industrial,189036,6.1,741.34748,12162.26354
2010-01,MTN,Mountain,IND,industrial,79128,5.64,339.08285,6015.88825
2010-01,PACC,Pacific Contiguous,IND,industrial,118498,6.74,442.75812,6565.87828
2010-01,PACN,Pacific Noncontiguous,IND,industrial,1890,18.64,77.79969,417.35593
2010-01,US,U.S. Total,IND,industrial,710700,6.5,4909.0917,75548.90308
2010-04,ID,Idaho,IND,industrial,25714,4.8,29.1452,606.71481
2010-04,HI,Hawaii,IND,industrial,691,21.14,61.77449,292.18753
2010-05,AL,Alabama,IND,industrial,6977,6.11,170.03214,2784.11355
2010-05,AK,Alaska,IND,industrial,1210,14.78,15.18473,102.75789
2010-05,AZ,Arizona,IND,industrial,7191,6.89,66.20816,960.48184
2010-05,AR,Arkansas,IND,industrial,30105,5.34,75.52177,1415.14219
2010-05,CA,California,IND,industrial,75702,9.42,372.55898,3954.51441
2010-05,CO,Colorado,IND,industrial,15148,7.12,88.17278,1238.34795
2010-06,AL,Alabama,IND,industrial,7036,6.47,177.4251,2742.60999
2010-06,AK,Alaska,IND,industrial,1222,13.97,14.95026,107.00649
2010-06,AZ,Arizona,IND,industrial,7186,7.08,70.1618,991.38791
2010-07,SAT,South Atlantic,IND,industrial,78888,7.21,873.73006,12121.3997
2010-07,ESC,East South Central,IND,industrial,23862,6.22,621.4243,9983.86913
2010-07,WSC,West South Central,IND,industrial,208551,6.29,911.99827,14508.76433
2010-07,MTN,Mountain,IND,industrial,87365,7,521.24452,7448.53347
2010-07,PACC,Pacific Contiguous,IND,industrial,136686,8.14,644.50832,7919.48988
2010-07,PACN,Pacific Noncontiguous,IND,industrial,2294,19.86,86.06485,433.31119
2010-11,ND,North Dakota,IND,industrial,2643,5.75,19.37911,337.11584
2010-11,OH,Ohio,IND,industrial,20613,6.44,285.52755,4436.86823
2010-11,OK,Oklahoma,IND,industrial,18333,5.04,64.28385,1275.45222
2009-09,SC,South Carolina,IND,industrial,4480,5.8,126.98697,2190.002
2009-09,SD,South Dakota,IND,industrial,3451,5.86,11.91738,203.41508
2009-09,TN,Tennessee,IND,industrial,2028,6.64,158.74672,2391.38932
2009-09,TX,Texas,IND,industrial,131212,6.37,535.39657,8404.98929
2009-09,UT,Utah,IND,industrial,9563,5.13,38.5803,751.60039
2009-09,VT,Vermont,IND,industrial,225,9.19,10.4669,113.94812
2009-09,VA,Virginia,IND,industrial,5305,6.9,95.44045,1383.78407
2009-09,WA,Washington,IND,industrial,32685,4.42,88.39956,2002.2092
2009-09,WV,West Virginia,IND,industrial,12236,5.05,45.58546,903.08977
2009-09,WI,Wisconsin,IND,industrial,5145,6.96,132.57562,1905.18914
2009-09,WY,Wyoming,IND,industrial,9333,4.97,36.4053,732.17746
2009-09,NEW,New England,IND,industrial,29229,13.49,317.91867,2356.50511
2009-09,MAT,Middle Atlantic,IND,industrial,49324,8.24,454.01975,5510.04863
2009-09,ENC,East North Central,IND,industrial,62957,6.53,1038.50164,15904.12132
2009-09,WNC,West North Central,IND,industrial,114887,5.93,405.14979,6827.13298
2009-09,SAT,South Atlantic,IND,industrial,78946,6.62,753.96441,11381.41622
2009-09,ESC,East South Central,IND,industrial,25991,5.73,583.32752,10181.58577
2009-09,WSC,West South Central,IND,industrial,204217,5.79,770.59161,13312.00165
2009-09,MTN,Mountain,IND,industrial,87089,6.71,440.07025,6555.24045
2009-09,PACC,Pacific Contiguous,IND,industrial,135391,8.88,657.93484,7408.32739
2009-09,PACN,Pacific Noncontiguous,IND,industrial,2255,18.19,77.67782,427.01144
2009-09,US,U.S. Total,IND,industrial,790286,6.89,5499.1563,79863.39097
2009-10,DC,District of Columbia,IND,industrial,1,8.91,1.47543,16.56632
2009-10,FL,Florida,IND,industrial,19670,9,122.50685,1360.63645
